Site Name,Street Address,City,Postal Code,Latitude,Longitude,Allocating Organization,Notes
Raven EV Station #080,4142 Jordan Views Suite 427,Courtenay,V0M 7B9,52.568876,-135.76682,,
Summit Fast Charge #081,Unit 653 - 5147 Michael Harbor,Port Moody,V5X 8L2,51.30655,-118.393273,,
Pioneer Charge Depot #082,628 Joseph Run,Chilliwack,V2K 6Y5,49.356544,-129.171962,,
River Supercharge #083,1111 Jones Islands,Kelowna,V4R 5E3,53.816279,-123.534156,,
Pacific Charge Depot #084,8664 Brittany Mews,Sooke,V4S 1G0,59.37126,-131.432624,,
Lighthouse ChargePoint #085,43407 Smith Forge Apt. 491,Nanaimo,V5Y 6G6,55.962586,-118.167651,,
Cascade Fast Charge #086,174 Jose Lights,Burnaby,V3P 1P8,58.849846,-122.90064,,
Orchard EV Station #087,12430 Hill Loop Suite 962,Comox,V7C 3A0,57.505497,-132.956163,,
Pacific Fast Charge #088,084 Jackson Rest,Sidney,V3N 2A4,58.343352,-135.434119,,
Summit EV Station #089,456 Miguel Ferry Suite 667,Courtenay,V0G 0P3,55.189579,-138.664526,,
Sunrise EV Station #090,0018 Michael Brook,Kamloops,V7T 5X9,49.575932,-126.433802,,
River Charging Hub #091,Unit 591 - 9051 Julie Mountain Apt. 546,Qualicum Beach,V6S 1V7,49.159841,-137.035391,,
Evergreen Supercharge #092,8954 Miller Flat Suite 865,Kamloops,V9X 4T8,55.383493,-136.574588,,
Sunrise Charge Depot #093,13610 Cameron Lodge,Sidney,V6N 7R6,56.836466,-131.227538,,
Raven Charge Depot #094,Unit 952 - 31457 Rivas Alley Apt. 496,New Westminster,V1C 6E5,57.797701,-125.117349,,
Cascade Power Stop #095,1193 Thomas Corners,Port Moody,V0M 9M5,49.512127,-126.344242,,
Pioneer Supercharge #096,9539 Mark Street Suite 710,Sooke,V5E 4K6,58.188315,-114.637862,,
Evergreen Charging Hub #097,54716 Little Estates Suite 015,Campbell River,V4N 5A2,58.477394,-124.867993,,
Harbour EV Station #098,3024 Jared Fort,Prince George,V3R 6T5,50.141689,-131.250368,,
Pacific Charging Hub #099,663 Patricia Burgs,Terrace,V9B 1L7,56.044683,-126.889318,,
Orchard EV Station #100,4608 Allison Pike,Comox,V1M 9V8,56.105451,-137.921841,,
